gene, test statistic, p-value, number of groups
p0009-p0366-p0204-p0132-p0033,0.5723366718320978,0.815,2
p0253-p0148-p0195-p0103-p0249,2.147605134587058,0.059,2
p0321-p0377-p0052-p0183-p0043,0.8990549453291645,0.598,2
p0076-p0210-p0303-p0187-p0278,3.545758744107307,0.005,2
p0102-p0060-p0250-p0120-p0174,1.513913397333928,0.2,2
p0153-p0026-p0370-p0324-p0171,1.4022665500125095,0.293,2
p0107-p0301-p0234-p0188-p0119,0.789820449392981,0.653,2
p0318-p0016-p0262-p0380-p0220,1.145042758926436,0.463,2
p0050-p0083-p0160-p0174-p0338,1.342818716700917,0.271,2
p0179-p0256-p0369-p0148-p0167,1.092926725012516,0.484,2
p0132-p0233-p0311-p0197-p0313,1.8722054903551248,0.112,2
p0145-p0229-p0288-p0192-p0101,0.5027603137323,0.794,2
p0083-p0022-p0222-p0305-p0195,1.1935186201861716,0.383,2
p0324-p0369-p0122-p0075-p0052,1.3647219035736253,0.206,2
p0067-p0337-p0047-p0118-p0205,1.209594452933015,0.348,2
p0332-p0366-p0207-p0009-p0186,0.8637835903237945,0.624,2
p0286-p0067-p0015-p0135-p0253,1.6853226180747785,0.115,2
p0014-p0027-p0366-p0244-p0287,1.052662888816914,0.49,2
p0278-p0200-p0169-p0168-p0065,1.2133270579752362,0.364,2
p0027-p0289-p0085-p0182-p0151,1.1456272386122117,0.406,2
p0001-p0249-p0220-p0024-p0389,1.9656785814289177,0.132,2
p0202-p0358-p0032-p0001-p0018,1.537001203449968,0.2,2
p0228-p0128-p0334-p0262-p0047,1.151272935797278,0.405,2
p0354-p0283-p0344-p0025-p0116,0.9284060316590563,0.566,2
p0111-p0139-p0340-p0037-p0117,-0.3759743242943465,0.98,2
p0396-p0303-p0106-p0043-p0264,2.042789783925896,0.034,2
p0399-p0185-p0035-p0237-p0294,1.7434170428143492,0.153,2
p0283-p0308-p0285-p0030-p0247,2.111642456808,0.137,2
p0185-p0063-p0271-p0290-p0050,1.0100842143088145,0.506,2
p0300-p0344-p0234-p0064-p0117,1.5564370745178682,0.133,2
p0138-p0043-p0089-p0209-p0175,1.46397715977185,0.114,2
p0177-p0286-p0189-p0064-p0008,1.0388090222972395,0.448,2
p0189-p0195-p0266-p0062-p0181,1.8261869325823414,0.054,2
p0382-p0107-p0397-p0207-p0322,1.8450040576577336,0.112,2
p0146-p0304-p0197-p0237-p0010,1.0898636303316709,0.422,2
p0011-p0088-p0177-p0091-p0136,1.2446234365632796,0.355,2
p0236-p0032-p0300-p0178-p0139,0.4085854402220437,0.882,2
p0278-p0107-p0136-p0263-p0169,2.346228218560676,0.025,2
p0283-p0364-p0391-p0104-p0219,1.0176323867027477,0.497,2
p0231-p0235-p0217-p0173-p0154,1.1005673476130091,0.418,2
p0340-p0152-p0363-p0041-p0061,1.82631011242848,0.164,2
p0060-p0095-p0358-p0023-p0356,2.105194376733273,0.021,2
p0192-p0291-p0081-p0172-p0063,1.6533722022364423,0.091,2
p0007-p0168-p0022-p0262-p0119,0.3947795557074952,0.887,2
p0052-p0235-p0120-p0030-p0138,1.7000327600817962,0.098,2
p0140-p0035-p0171-p0074-p0215,1.2543594374973661,0.335,2
p0037-p0249-p0008-p0167-p0197,1.2581388955111488,0.399,2
p0033-p0132-p0348-p0133-p0209,1.1273454718022433,0.4,2
p0229-p0200-p0143-p0207-p0230,1.5693591862075635,0.182,2
p0231-p0355-p0343-p0029-p0238,1.9103465870098268,0.076,2
p0344-p0075-p0066-p0384-p0012,1.7739735523078337,0.113,2
p0322-p0131-p0309-p0208-p0177,2.650930228028425,0.026,2
p0284-p0246-p0100-p0196-p0037,1.7802115705513069,0.167,2
p0067-p0379-p0311-p0248-p0159,1.6585213154170089,0.136,2
p0376-p0005-p0248-p0327-p0207,1.5564256114715713,0.144,2
p0377-p0199-p0241-p0229-p0105,1.1986971922976015,0.414,2
p0021-p0102-p0335-p0023-p0032,1.3404622546803757,0.247,2
p0235-p0197-p0182-p0350-p0344,0.007131661192827079,0.951,2
p0234-p0257-p0352-p0073-p0002,0.6825319365201996,0.724,2
p0325-p0009-p0356-p0091-p0248,1.2543989389153265,0.363,2
p0011-p0378-p0211-p0184-p0285,0.050632769278986495,0.87,2
p0368-p0224-p0335-p0274-p0235,0.10718231271947387,0.907,2
p0303-p0261-p0066-p0371-p0311,2.0464171710855106,0.047,2
p0263-p0138-p0327-p0325-p0125,1.5709441350462772,0.143,2
p0272-p0126-p0188-p0343-p0334,1.249439050763378,0.344,2
p0145-p0189-p0373-p0362-p0118,1.7896809551932438,0.137,2
p0396-p0395-p0072-p0016-p0274,0.8905041511891275,0.59,2
